FCFS,WFP3,UNICEF,SPT,SAF,F2,LIN,QDR,CUB,QUA,QUI,SEX
9676.28364,4464.612059,3439.683867,1740.127265,19.106899,36.094525,28.44237,9438.916166,9524.318575,10459.807224,1847.222869,11215.720219
2842.79586,1095.697702,1339.447594,27.94649,19.303913,31.090966,20.902934,2532.641186,1103.148427,2430.842931,682.265987,3021.170136
5780.164584,1356.148172,889.443865,270.084252,19.652518,48.835807,27.672408,4927.001218,2787.720473,5750.795631,1302.36107,7686.401519
14397.432387,10770.215683,5258.038137,5694.592391,831.633166,1111.634185,2669.504369,14400.243649,15291.990473,15196.517797,11974.029311,15714.559442
9901.168508,6160.887668,4710.834504,4017.630593,137.360753,83.950265,4531.622098,8336.422812,9159.095325,10474.57643,7897.235053,11779.008335
4760.403698,1533.062963,659.741496,287.438713,25.947411,27.8817,48.212324,6005.208476,3698.225086,4758.894634,1009.668345,5343.045358
9947.358814,7371.786578,4080.923737,3428.947962,280.8948,467.450865,1454.814353,10798.652113,10485.298495,10238.44044,5169.07106,11173.964328
7517.806546,2966.234052,1307.502269,1125.856506,13.814636,47.400507,35.748873,6639.686148,5255.564418,2370.64155,1194.173694,3377.497389
8879.809131,5629.101563,2699.662817,1780.298731,36.503487,18.554587,1621.567054,8440.260234,5674.938554,3604.951197,3118.692528,3443.046225
3419.9015,1485.426771,942.444654,106.907657,15.009545,18.64133,46.533415,3784.787067,3336.732935,3339.072496,2849.92943,3075.667997
8538.930405,3821.935868,5724.874891,3227.920393,27.241289,296.418617,20.187896,10481.844317,9376.883823,10241.28724,5381.349153,10597.660395
9902.096806,6242.114608,4356.980002,313.699406,20.060974,21.306659,114.486001,7846.371963,9735.460827,10814.406462,1867.538571,9592.3611
3751.209682,678.535568,1284.916572,69.791258,27.023123,38.532507,23.247955,3814.700095,1619.228697,528.315508,437.342212,986.001578
14414.252349,10651.370539,6326.226631,5472.142419,948.793285,512.391547,295.755101,15395.55183,14383.534498,17108.813994,11763.88779,16606.426382
6708.790783,3035.125752,1638.338691,1699.438406,16.075545,33.082302,16.36045,6078.455384,3560.576383,4203.1797,4157.786526,4213.349864
7456.152557,3628.610485,3035.890225,237.769884,15.186662,242.304793,22.21619,4791.751181,7093.328486,8359.124421,4018.11655,8752.653096
14460.476072,11660.791879,6371.273189,6504.977263,771.669286,1501.73414,3163.199418,13948.175906,15414.740483,16203.737699,10851.659049,16193.984021
1943.797016,298.662208,212.95079,63.264491,40.119447,31.722318,34.694878,1660.361217,2270.437138,2190.368642,548.317571,2302.144026
7881.950847,6146.87699,3030.790408,2378.163409,158.556038,227.89575,236.41822,7954.562147,5752.064606,5051.010175,5396.686393,5916.375435
11834.54355,7466.961829,4098.07665,3200.636931,14.349463,151.706593,209.61548,12890.955112,10410.731298,10828.674582,10249.087235,10326.59623
6096.044576,3628.978296,2736.024446,675.593239,25.968322,27.159853,26.76263,6006.978296,6681.051524,7261.604743,1553.670765,7053.51647
