FCFS,WFP3,UNICEF,SPT,SAF,F2,LIN
262.228685,97.446053,42.166629,35.659832,9.225272,10.014674,12.146088
433.922758,179.0295,108.865516,88.68247,19.351977,26.335516,17.693806
552.824251,350.967188,175.122855,65.178177,10.963182,10.297031,9.305236
209.692599,71.593014,34.235112,29.320089,6.583832,6.902388,12.536454
337.436145,92.30173,70.661158,62.155157,5.184471,5.677401,4.744626
475.795093,124.159541,49.275429,51.303026,23.662532,9.752058,20.368347
361.503392,100.824903,37.21665,28.54542,11.034497,11.216225,14.164667
165.587703,41.678365,23.218791,19.339605,4.690242,4.211472,5.859461
159.609523,33.279684,16.447231,12.299571,6.206308,5.769003,6.003107
193.597951,61.889729,30.520892,37.179356,24.347391,31.461857,25.305808
60.925361,19.065485,12.460383,4.227631,3.178366,2.805292,2.608623
772.362405,130.481904,38.13567,30.20744,8.874282,10.047324,8.191118
273.099203,36.610743,17.117585,6.688266,4.395198,3.242274,4.165947
96.863896,23.368893,15.198312,8.560848,6.446067,7.15647,11.592626
144.047107,37.397048,22.374013,19.2305,3.556048,4.362154,7.933728
216.69077,52.208481,18.745271,24.169788,4.827038,6.985551,12.391471
43.644041,36.51796,24.874608,16.710219,4.08877,3.443053,3.669637
814.79413,265.366411,80.012492,35.774445,10.067074,24.137714,13.615475
275.484231,93.080457,43.415782,43.949916,8.506292,6.941372,19.180745
106.248173,32.612944,11.183251,8.341343,5.455365,4.373818,12.43259
77.984503,12.167657,7.77588,8.827257,5.646126,5.889536,5.322074
99.508343,39.32532,14.829918,17.278532,4.160422,6.055439,6.039854
607.379366,453.648457,193.527073,106.662747,9.185467,9.241862,11.276727
316.806956,198.186208,109.776644,107.275411,37.538985,6.296293,12.664979
871.535169,255.587222,86.158255,116.418177,12.846676,7.920598,16.037281
820.482548,185.211326,73.419043,85.756066,10.421417,6.036818,9.043267
90.452454,29.493816,14.573353,8.119783,3.134774,3.116318,2.954375
156.938693,81.602567,21.961388,31.813117,2.571149,2.597146,5.964734
291.09111,99.655228,28.190942,20.005203,8.141958,7.887381,16.236476
329.806376,96.658982,40.39174,31.447471,8.091477,7.301607,7.320499
345.131881,153.726202,58.511762,51.245813,9.402305,5.293761,9.560921
580.636096,120.526885,56.983448,40.43806,15.169924,11.451631,21.396763
619.90322,162.799298,154.079009,112.587386,4.857291,4.021582,6.368806
1004.80809,456.862197,239.344828,186.203604,22.170261,58.450948,31.81788
214.680986,141.736219,48.153993,42.633037,6.477307,5.827777,7.73689
222.650084,79.477959,21.372595,35.725917,3.423072,3.836945,8.484942
771.332648,258.336382,107.081495,39.386157,25.843966,4.396683,11.387666
210.797412,97.476167,33.35358,30.037242,10.520424,8.19905,13.628479
546.771293,215.063532,73.326908,84.855595,12.080957,10.821208,8.519891
1455.13146,433.01669,117.140473,164.150683,9.718397,8.691014,18.806687
1051.102387,127.01541,44.651738,49.683707,5.707345,7.486973,13.891913
247.405451,110.324109,21.798481,18.174275,4.387826,3.316425,5.334771
1473.55961,263.426359,91.845982,91.413073,41.185172,71.028725,142.947842
76.414151,63.901255,20.49287,25.132792,2.213894,1.926551,2.131827
1765.820175,739.427574,478.847107,352.378452,37.403142,26.728689,25.517089
378.930211,129.759941,47.899456,86.137731,4.229261,5.692676,5.679582
1173.636099,266.862531,57.007286,37.386367,9.25151,10.465635,6.171423
612.952411,129.472951,93.804748,118.222453,182.310211,144.294564,123.214194
201.037017,53.268143,19.095239,23.23594,7.52946,16.337324,11.794688
209.267967,161.328423,121.82884,126.02436,79.544003,39.551146,5.72215
254.906971,170.385118,155.45009,187.004828,18.528289,18.727557,22.683323
572.635625,416.037855,60.414769,140.712573,17.046068,8.209759,10.277477
728.047267,289.2776,171.463129,158.937457,40.165989,132.104979,126.715509
1262.609126,575.449142,165.257099,63.858163,40.63989,31.867752,126.343227
1347.420353,462.056767,171.331639,104.273639,12.823276,18.431611,42.494253
1971.354955,1680.867238,546.30815,330.69053,91.159812,144.000771,1025.253162
472.033429,247.169113,54.35333,34.233443,69.538629,36.605496,39.981871
338.253094,211.857169,78.295664,49.680522,6.3996,8.008847,12.728645
4333.423887,4237.001111,740.04695,1350.355078,36.637874,37.303931,47.813418
594.996863,306.772484,79.032305,116.795485,36.233828,12.060453,16.186975
2029.643622,1111.691753,430.071486,841.259771,173.467927,167.792235,101.976464
1846.65775,716.637729,126.941959,148.757326,10.33883,8.288133,9.168574
1676.550709,635.243696,250.310723,163.135463,48.664148,20.511226,543.029317
2507.379773,1107.932004,298.896678,125.199467,6.991617,24.078437,35.358188
