FCFS,WFP3,UNICEF,SPT,SAF,F2,LIN,QDR,CUB,QUA,QUI,SEX
12815.676945,12938.912651,8877.369927,10678.484892,3953.973059,2604.447501,3818.14209,10161.422932,12962.687324,5991.401887,8965.48501,9362.954519
9455.254417,8372.91767,4216.331667,6492.118868,2188.888302,1136.70351,1011.502851,4608.828379,10240.604492,4328.873781,5277.518951,6078.163456
1005.595438,450.268705,135.06311,69.059742,3.800936,9.733729,11.883167,498.694678,893.235808,322.0957,274.607786,309.124722
4726.81419,4537.291914,1915.075771,3020.141975,159.848446,30.899161,34.123347,3744.211805,5508.352915,1583.84655,1688.842294,3245.77536
3068.845183,2434.69282,251.773124,711.919245,12.139778,10.298052,23.262254,1097.906892,3767.187106,2570.560173,323.607802,1401.847608
12929.476441,11909.676148,8249.650546,11764.918919,3275.637556,1340.258801,1039.28423,10628.453032,13849.737075,9055.825895,7421.509769,8499.748165
3357.649884,3042.1315,1670.473303,1242.599874,76.690126,14.808792,104.886123,1648.259323,3810.904024,2136.346558,824.847676,2193.151186
12470.690075,12028.738707,8010.145784,9616.523732,2260.08015,1475.934699,1858.321188,7498.711139,13372.82284,7012.127053,6581.843279,9258.843676
9433.885607,9767.605048,8034.264209,8180.120659,2542.480196,608.594774,1175.161363,7595.213949,9990.110891,5230.34255,5059.594762,4611.707124
5235.320226,4734.610328,2657.763705,4549.914945,153.05656,15.739865,47.157738,3188.770859,5533.924972,2931.084169,2782.687358,2235.676374
9377.038095,8955.074866,5541.193639,7990.544154,1334.491435,510.899834,1162.992774,5890.671439,10816.695235,6953.557581,6249.767262,5962.038948
6734.488496,6019.889443,3320.329993,3910.693857,67.892833,24.326893,65.680466,3520.957348,7827.898069,4270.229286,1731.012899,1411.279329
4000.493071,2333.654365,3356.191575,2155.260798,34.515041,24.298518,37.450518,2308.944315,4916.545069,4172.27305,655.136028,2061.652723
5806.259748,5661.783918,3820.438936,4481.670288,399.647111,152.484988,221.578993,5119.594928,6819.125542,4497.310626,2626.508104,3383.24127
