FCFS,WFP3,UNICEF,SPT,SAF,F2,LIN,QDR,CUB,QUA,QUI,SEX
7499.1712,8303.609856,5788.546578,6479.599427,83.563051,46.249304,603.987954,6834.322257,6811.755777,7559.045152,791.966537,872.012249
9344.446725,9855.406394,5065.023408,10491.834595,155.727669,47.38256,7343.331152,9246.418623,9653.29829,11044.221316,3414.475757,1772.413629
5126.256627,4446.917885,3169.20423,3270.585318,71.995752,30.597253,1433.76917,5672.179608,5579.373773,5001.161185,731.678249,696.872074
5538.22828,5462.663953,4235.632734,4125.943288,403.732347,112.616274,1835.886463,6414.337119,5770.957136,3791.290685,1192.08708,1795.692662
4213.10749,2723.910917,1335.141601,1730.956635,58.139313,19.477928,422.952609,2580.830337,4174.483823,4643.297763,3151.158814,377.025847
11109.607406,10892.45364,5730.116263,7807.137741,1664.387015,875.346071,5983.153587,9189.906939,10894.108748,10350.085421,4420.690023,4653.82813
11444.204317,10148.224263,6577.304877,8385.380252,370.244968,141.641915,6231.641621,11018.199795,9622.320858,10772.986223,3272.329337,1952.419614
7704.90093,7658.809415,4295.517961,5475.869093,80.035326,32.168518,2215.611891,9215.732988,7765.830207,6934.374622,2428.910556,891.356854
7070.390823,6261.440904,5239.354729,5396.778292,473.284357,35.825107,4192.628464,6701.405408,7225.635231,7128.358865,3540.345091,2011.743152
8853.738516,5454.847953,4193.557184,6268.755604,1028.253736,61.397427,4806.00271,7692.075976,8058.424663,7797.935538,3651.901683,4540.272876
6220.640889,4809.692994,1708.339222,3677.542752,78.65073,26.546683,3096.241467,5635.76776,6536.083933,3950.522084,2957.429006,3151.707558
9363.122694,9566.85158,6951.221555,7252.047637,1466.259249,534.182884,8157.447101,9454.359026,9177.06166,10175.830832,4086.953906,2938.755697
6508.781562,6573.981498,2933.606838,4892.353437,60.367992,198.914028,1523.848446,5453.451588,5834.499541,5740.36255,1118.392373,501.562277
10184.051714,10952.356523,7074.52291,10409.800603,3203.847877,1963.23544,6390.783704,11525.791969,9842.438259,10789.65502,5688.090975,6024.200552
21740.858037,20935.163903,13134.93671,17969.564925,5964.461151,3919.747962,11125.107982,21210.792054,22602.268448,21362.97127,10051.645413,7591.962414
5013.515871,3712.573704,1369.465108,2915.520278,77.598821,61.340219,1188.203083,4718.772695,3309.476844,2024.473533,1035.426892,1030.095244
8576.203487,8242.855083,5643.055605,6317.857756,477.326218,153.227591,4959.258198,8442.244229,7747.545213,7534.805415,3430.74979,993.348773
13923.55559,15589.603651,8152.263127,13056.396156,1451.950135,452.406093,8941.401429,13175.29661,13966.965985,13624.56634,7023.543087,4670.457507
4299.770978,3654.103949,3667.720035,2923.896842,332.712551,41.455484,1139.9038,4523.098653,5470.384417,4416.841178,1703.736671,1131.803732
7830.579432,7505.736471,3657.140109,5803.533795,33.833977,26.05839,2969.297809,6607.062412,4756.038217,5140.76325,863.919313,691.149679
4504.360674,3970.200091,1424.527269,1838.389047,78.91761,47.981328,805.378173,3559.824078,3545.583306,2828.584233,2526.518374,1973.105351
2783.258687,3481.225084,1498.295081,1489.500507,80.858923,18.691904,683.519878,3143.811115,2192.740278,1638.269804,771.356047,711.629202
17850.656754,17652.373556,13107.525724,17899.586604,6427.073794,5143.117306,12072.437108,18921.852591,18020.167748,17376.474874,11136.549382,9715.486335
10116.498394,8153.79889,5277.132418,5996.841162,1536.060718,428.350587,5940.995969,9277.394443,9844.032947,8712.351266,4761.679524,3550.912863
