FCFS,WFP3,UNICEF,SPT,SAF,F2,LIN,QDR,CUB,QUA,QUI,SEX
10286.247085,8400.850603,4615.919484,4840.949922,78.939657,96.121346,159.447393,6753.104456,12019.215769,4029.216556,8385.855709,12324.502457
11109.293596,8884.948525,4043.507271,4102.313774,246.476359,177.056568,314.182085,6718.351628,11297.429071,454.089254,7796.022748,13241.151175
4889.923703,4252.902024,2296.711454,1751.024899,20.469384,11.486632,26.879993,2522.082926,4188.126272,814.92116,2455.034823,7504.84809
14660.251656,11581.875209,7226.469124,7774.291865,2926.886377,1696.920373,3105.838339,11085.274961,16239.669822,4701.193377,11822.657081,17217.720379
1281.526909,414.804703,186.829199,47.740849,12.957622,14.932683,12.141674,714.687231,1319.215583,58.048554,420.262061,1553.37679
3814.929518,2029.334684,1389.111063,1580.963334,17.933333,19.907789,23.311133,2649.481018,3766.930575,202.841222,1619.752647,4688.365655
5424.429263,4128.327824,2435.337893,2324.067909,9.511284,8.03961,14.133058,4491.983846,6629.416063,733.390961,3895.345299,7104.705897
7087.145067,5824.851564,3764.954434,2909.877906,46.807947,9.843939,69.072049,5308.838114,7502.505332,570.556007,3878.722325,8458.237201
7466.538947,6029.793173,3657.042034,1581.879307,235.528968,52.129764,358.055411,6107.665647,8408.023444,1856.844565,6738.955135,8980.588805
10436.160672,7639.172066,6150.156512,5674.622142,994.944281,631.74935,1687.718304,8035.905493,10331.00709,2918.281959,10173.53905,10563.375716
7224.491848,6422.232244,3051.3442,2439.005784,6.097935,9.078835,91.284841,6476.707699,6801.644546,851.986853,5107.19767,8105.935356
11248.549071,7668.857335,5277.985202,2840.928843,249.616739,14.123903,55.599119,7724.629424,11784.860505,1403.230348,6997.010723,12973.790965
